Season,Team,Gtm,Opp,Spread,Total
2015,NYG,14,CAR,4.0,48.0
2015,NYG,15,@MIN,7.0,44.5
2015,NYG,16,PHI,-5.0,51.0
2015,NYJ,1,CLE,-3.5,39.5
2015,NYJ,2,@IND,7.0,46.5
2015,NYJ,3,PHI,-1.5,45.5
2015,NYJ,4,@MIA,-1.5,42.0
2015,NYJ,5,WAS,-7.0,40.5
2015,NYJ,6,@NWE,7.5,47.5
2015,NYJ,7,@OAK,-3.0,44.0
2015,NYJ,8,JAX,-8.0,42.0
2015,NYJ,9,BUF,-2.5,42.5
2015,NYJ,10,@HOU,-3.0,40.5
2015,NYJ,11,MIA,-4.0,42.5
2015,NYJ,12,@NYG,-2.5,46.5
2015,NYJ,13,TEN,-7.0,43.0
2015,NYJ,14,@DAL,-3.0,41.5
2015,NYJ,15,NWE,3.0,45.0
2015,NYJ,16,@BUF,-3.0,42.0
2015,PHI,1,@ATL,-2.5,54.5
2015,PHI,2,DAL,-5.0,55.0
2015,PHI,3,@NYJ,1.5,45.5
2015,PHI,4,@WAS,-3.0,44.0
2015,PHI,5,NOR,-6.0,49.5
2015,PHI,6,NYG,-5.0,49.5
2015,PHI,7,@CAR,3.0,45.0
2015,PHI,8,@DAL,-3.0,43.5
2015,PHI,9,MIA,-6.0,49.5
2015,PHI,10,TAM,-6.0,44.5
2015,PHI,11,@DET,2.0,46.0
2015,PHI,12,@NWE,8.0,49.0
2015,PHI,13,BUF,-1.0,47.0
2015,PHI,14,ARI,3.5,51.5
2015,PHI,15,WAS,-3.0,48.0
2015,PHI,16,@NYG,5.0,51.0
2015,PIT,1,@NWE,7.0,52.0
2015,PIT,2,SFO,-6.5,45.5
2015,PIT,3,@STL,-1.0,48.0
2015,PIT,4,BAL,2.5,43.5
2015,PIT,5,@SDG,3.5,46.0
2015,PIT,6,ARI,3.5,45.0
2015,PIT,7,@KAN,3.0,43.0
2015,PIT,8,CIN,-1.0,48.5
2015,PIT,9,OAK,-4.5,48.5
2015,PIT,10,CLE,-6.0,41.5
2015,PIT,11,@SEA,3.5,45.5
2015,PIT,12,IND,-7.5,49.0
2015,PIT,13,@CIN,2.5,50.0
2015,PIT,14,DEN,-6.0,45.0
2015,PIT,15,@BAL,-10.0,47.0
2015,PIT,16,@CLE,-11.0,46.5
2015,SFO,1,MIN,1.5,41.5
2015,SFO,2,@PIT,6.5,45.5
2015,SFO,3,@ARI,6.5,45.0
2015,SFO,4,GNB,7.5,48.0
2015,SFO,5,@NYG,6.5,43.0
2015,SFO,6,BAL,2.0,43.5
2015,SFO,7,SEA,6.5,42.0
2015,SFO,8,@STL,7.5,39.5
2015,SFO,9,ATL,7.5,44.0
2015,SFO,10,@SEA,13.5,40.0
2015,SFO,11,ARI,9.5,45.0
2015,SFO,12,@CHI,6.5,43.5
2015,SFO,13,@CLE,1.5,41.5
2015,SFO,14,CIN,5.5,40.5
2015,SFO,15,@DET,9.5,42.0
2015,SFO,16,STL,3.5,37.5
2015,SEA,1,@STL,-4.0,40.5
2015,SEA,2,@GNB,3.0,49.0
2015,SEA,3,CHI,-14.5,43.5
2015,SEA,4,DET,-9.5,43.0
2015,SEA,5,@CIN,3.0,43.5
2015,SEA,6,CAR,-7.0,40.5
2015,SEA,7,@SFO,-6.5,42.0
2015,SEA,8,@DAL,-4.5,41.0
2015,SEA,9,ARI,-3.0,44.5
2015,SEA,10,SFO,-13.5,40.0
2015,SEA,11,PIT,-3.5,45.5
2015,SEA,12,@MIN,-1.5,42.0
2015,SEA,13,@BAL,-11.0,41.0
2015,SEA,14,CLE,-14.0,43.0
2015,SEA,15,STL,-12.0,40.0
2015,SEA,16,@ARI,6.5,47.0
2015,TAM,1,TEN,-3.0,41.0
2015,TAM,2,@NOR,10.0,47.5
2015,TAM,3,@HOU,6.5,40.5
2015,TAM,4,CAR,3.0,40.0
2015,TAM,5,JAX,-2.5,41.5
2015,TAM,6,@WAS,3.0,42.5
2015,TAM,7,@ATL,7.0,48.5
2015,TAM,8,NYG,1.0,49.5
2015,TAM,9,DAL,-1.0,43.0
2015,TAM,10,@PHI,6.0,44.5
2015,TAM,11,@IND,3.0,46.0
2015,TAM,12,ATL,-1.0,46.0
2015,TAM,13,NOR,-4.5,50.5
2015,TAM,14,@STL,2.5,41.0
2015,TAM,15,CHI,-3.0,45.0
2015,TAM,16,@CAR,10.0,46.0
2015,OTI,1,@TAM,3.0,41.0
2015,OTI,2,@CLE,-2.0,41.0
2015,OTI,3,IND,3.5,46.0
2015,OTI,4,BUF,1.0,42.0
2015,OTI,5,MIA,-2.0,43.5
2015,OTI,6,ATL,6.0,47.0
2015,OTI,7,@HOU,3.5,42.5
2015,OTI,8,@NOR,7.5,48.0
2015,OTI,9,CAR,4.0,44.5
2015,OTI,10,@JAX,2.5,43.0
2015,OTI,11,OAK,1.0,44.0
2015,OTI,12,JAX,-2.5,43.5
2015,OTI,13,@NYJ,7.0,43.0
2015,OTI,14,@NWE,14.0,46.5
